counterparty_name,classification,notional_usd_summed,matched_pattern
BOFA SECURITIES INC.,BILATERAL,11780598954,
"Merrill Lynch & Co., Inc.",BILATERAL,11697538761,
Signature Bank,BILATERAL,11387164395,
UBS Financial Services Inc.,BILATERAL,11272703000,
DEUTSCHE BANK SECURITIES INC,BILATERAL,11231795237,
JP Morgan Securities PLC,BILATERAL,11100205082,
Bank of New York Mellon,BILATERAL,11075484322,
Australia & New Zealand Banking Group Ltd.,BILATERAL,11048603793,
JPMorgan Securities LLC,BILATERAL,10646758065,
Citibank International Limited,BILATERAL,10366618958,
Toronto Dominion Bank,BILATERAL,10225721724,
JP MORGAN CHASE BANK N.A.,BILATERAL,10163161383,
"Deutsche Bank Securities, Inc.",BILATERAL,9760247981,
ICE Futures Europe - Financial Products Division,BILATERAL,9563181576,
Cassa di Compensazione e Garanzia,BILATERAL,9392390415,
Merrill Lynch International & Co.,BILATERAL,9388544797,
R.J. O'BRIEN & ASSOCIATES LLC,BILATERAL,9351998036,
"Bank of America, N.A.",BILATERAL,9308033443,
Citigroup Inc.,BILATERAL,9206261659,
JPMorgan Securities PLC,BILATERAL,9116796607,
CIBC WORLD MARKETS CORP,BILATERAL,8796258593,
"RBC CAPITAL MARKETS, LLC",BILATERAL,8392454918,
Hong Kong Futures Exchange Ltd.,BILATERAL,8124092783,
BMO HARRIS BANK N.A.,BILATERAL,7893485597,
Natwest Markets Australia Pty Limited,BILATERAL,7887438023,
MERRILL LYNCH PFS,BILATERAL,7819036760,
DEUTSCHE BANK SECURITIES INC.,BILATERAL,7811797499,
MACQUARIE BANK LTD,BILATERAL,7753451060,
ICE Futures U.S.,BILATERAL,7690624716,
Barclays,BILATERAL,7603814962,
"BANCO SANTANDER, S.A.",BILATERAL,7573814592,
J.P. Morgan International Bank Limited,BILATERAL,7569532759,
Mizuho Securities,BILATERAL,7530973495,
Morgan Stanley Capital Services,BILATERAL,7405434503,
STATE STREET,BILATERAL,7378971430,
J.P. MORGAN SECURITIES,BILATERAL,7331183429,
CANTOR FITZGERALD & CO.,BILATERAL,7219061331,
"BNY Mellon, National Association",BILATERAL,7208031838,
Market Operation Department of KOFEX,BILATERAL,6904030187,
"DEUTSCHE BANK SECURITIES, INC.",BILATERAL,6798104692,
"ADM Investor Services, Inc.",BILATERAL,6779633408,
Australia and New Zealand Banking Group Limited,BILATERAL,6661345708,
Singapore Exchange (was SIMEX),BILATERAL,6591865162,
CITIGROUP GLOBAL MARKETS LIMITED,BILATERAL,6580035976,
J.P. MORGAN SECURITIES PLC,BILATERAL,6381626939,
"SG AMERICAS SECURITIES, LLC",BILATERAL,6344301174,
BARCLAYS PLC,BILATERAL,6319675084,
Nomura Securities,BILATERAL,6085372704,
BMO HARRIS BANK NA 001,BILATERAL,6072942161,
ED&F MAN CAPITAL MARKETS INC.,BILATERAL,6023160655,
Deutsche Bank Securities Inc.,BILATERAL,5842356273,
BNY CAPITAL MARKETS,BILATERAL,5841053623,
MONTREAL EXCHANGE INC.,CCP,5831134018,MONTREAL EXCHANGE
Citigroup,BILATERAL,5689673640,
MERRILL LYNCH BOSTON,BILATERAL,5555242397,
ING Baring U.S. Capital Markets,BILATERAL,5554429862,
BARCLAYS CAPITAL INC,BILATERAL,5521084361,
GOLDMAN SACHS BANK AG,BILATERAL,5406116454,
"Barclays Capital, Inc.",BILATERAL,5375937290,
BME Clearing,BILATERAL,5346859469,
The Montreal Exchange/Bourse De Montreal,CCP,5323587398,Montreal Exchange
Cowen Group,BILATERAL,5177401668,
UBS AG London,BILATERAL,5162575772,
The Toronto-Dominion Bank,BILATERAL,4970233184,
"Nomura Holdings, Inc.",BILATERAL,4742056640,
BARCLAYS BANK UK PLC,BILATERAL,4677846983,
STATE STREET CORP,BILATERAL,4653263650,
Nasdaq Stockholm AB,BILATERAL,4612035395,
"Macquarie Capital USA, Inc.",BILATERAL,4610649339,
BNP PARIBAS SEC'S CORP./BONDS,BILATERAL,4534553516,
BNP Paribas Securities,BILATERAL,4491933286,
INTL FCSTONE FINANCIAL INC.,BILATERAL,4323686683,
Euronext Derivatives Paris,BILATERAL,4305126052,
BMO CAPITAL MARKETS CORP.,BILATERAL,4149232836,
UBS WARBURG,BILATERAL,3931679776,
Barclays Capital Securities Ltd.,BILATERAL,3931187358,
COWEN INC.,BILATERAL,3923825810,
ICE Clear Europe Limited,CCP,3910032700,ICE Clear
JPMorgan International Bank Ltd.,BILATERAL,3908195548,
NATWEST MARKETS,BILATERAL,3832850854,
CITIGROUP INC.,BILATERAL,3810461082,
"HSBC Securities (USA), Inc.",BILATERAL,3717681618,
JB DRAX HONORE,BILATERAL,3708731205,
CSFB NEW YORK DTC 355,BILATERAL,3556757366,
ICE Futures Europe,BILATERAL,3507278782,
Citigroup Global Markets Inc.,BILATERAL,3440141164,
Barclays Capital Inc. / LE,BILATERAL,3412797779,
Cowen Financial Products LLC,BILATERAL,3314473533,
NOMURA INTERNATIONAL PLC,BILATERAL,3257165993,
